conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2026285198330175691,Tue Feb 24 13:16:52 +0000 2026,0,Bodycare abis sabun + lotion sekalian beli 2 gratis 1 aja deh #MalamIniShopeeMidnightSale,2026285198330175691,,,in,,0,0,0,https://x.com/undefined/status/2026285198330175691,1868228002225795072,
2026276070312563130,Tue Feb 24 12:40:36 +0000 2026,0,siapa sih yang bisa nolak promo Beli 2 Gratis 1?? skincare + bodycare langsung masuk semuaa dompet aman hati tenang wkwk #MalamIniShopeeMidnightSale,2026276070312563130,,,in,,0,0,0,https://x.com/undefined/status/2026276070312563130,1909797905210490880,
2026253962266210718,Tue Feb 24 11:12:45 +0000 2026,0,skincare sama bodycare udah masuk wishlist tinggal nunggu beli 2 gratis 1 jam 00.00 nanti #MalamIniShopeeMidnightSale,2026253962266210718,,,in,,0,0,0,https://x.com/undefined/status/2026253962266210718,1576066390205038592,
2026252291360366831,Tue Feb 24 11:06:06 +0000 2026,0,225k !! Diskon beli di link ini https://t.co/ripRFe7Ape Noera Paket Combo Whitening Bodycare Booster Night Vitamin Lotion &amp; 5% ALPHA ARBUTIN - Promo wts wtb hanya tag diskon beli di link ini https://t.co/ripRFe7Ape https://t.co/fS011FzgbU,2026252291360366831,https://pbs.twimg.com/media/HB6xuHna8AAkWJ5.jpg,,in,,0,0,0,https://x.com/undefined/status/2026252291360366831,1991106673247961089,
2026243388606165478,Tue Feb 24 11:01:29 +0000 2026,0,@LazadaID Di Lazada Ramadan Pesta Gajian aku pengen beli skincare dan bodycare buat percantik diri ,2026251126857961779,,LazadaID,in,,0,0,0,https://x.com/undefined/status/2026251126857961779,1161502748,
2026185230848286951,Tue Feb 24 08:18:01 +0000 2026,0,@saphelune_ udh gitu selesainya masih harus skincarean hairdryer bodycare an dll,2026209992148488500,,saphelune_,in,,0,1,0,https://x.com/undefined/status/2026209992148488500,1353536078687342594,
2026207726976872844,Tue Feb 24 08:09:05 +0000 2026,3, ￼Ciara Scar Set aku tuh punya kulit yang sensitif &amp; gampang alergi jadi cukup picky buat pilih sama pake bodycare. turns out nemu yang cocok sama bisa nyamarin bekas luka &amp; calming alergi aku. harganya juga affordable 1 set gini mana dapet 3~ https://t.co/CkE3tw0LFA https://t.co/hAJyLpG9fo,2026207740239249649,https://pbs.twimg.com/media/HB6JMmhaUAA73w9.jpg,irapersa,in,,0,1,1,https://x.com/undefined/status/2026207740239249649,1022437026719657984,
2026207726976872844,Tue Feb 24 08:09:01 +0000 2026,796,BEBERAPA COMBO BODYCARE YANG PALING GONG 2026 anggunly demure &amp; slay head to toe! https://t.co/4gGDt41KXN,2026207726976872844,https://pbs.twimg.com/media/HB6JL2JbYAEjPPE.jpg,,in,,1,19,157,https://x.com/undefined/status/2026207726976872844,1022437026719657984,
2026119699835322640,Tue Feb 24 07:53:57 +0000 2026,0,@potarisweatt apalg pas bagian bodycare butuh waktu yg lamaaa,2026203935552500091,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026203935552500091,1336009723468869635,
2026176027517661268,Tue Feb 24 06:03:14 +0000 2026,0,aku suka bgt jalan-jalan ke alam!! resikonya bawa oleh-oleh tangan belang sm muka tapi itu dulu kokk!! sekarang aku udh rajin pake bodycare dan kalian bisa liat perbedaannyaa di foto ini better bgt kannn?? https://t.co/v0wSAaASEf,2026176070509363282,https://pbs.twimg.com/media/HB5sXqQaIAAxRmW.jpg,terangremboelan,in,,0,1,0,https://x.com/undefined/status/2026176070509363282,1667470100914634752,
2026144267899695257,Tue Feb 24 04:03:39 +0000 2026,0,@stberryorange @drwhiteskincare Pas banget bodycare abis. Thanks buat rekomendasinya kak,2026145978856980659,,stberryorange,in,,0,1,0,https://x.com/undefined/status/2026145978856980659,709063820233146368,
2026141939331146014,Tue Feb 24 03:47:36 +0000 2026,0,-selldips skincare bodycare parfum baju tanktop knit sweater popmart bikini bottom buddies tasbih souvenir haji umroh nikah tag: wts wtb sale buy preloved pl p new https://t.co/ImlKoQMb1D,2026141939331146014,https://pbs.twimg.com/media/HB5NVWGbUAAcnZS.jpg,,in,,0,0,0,https://x.com/undefined/status/2026141939331146014,1847520733028896769,
2026132112374702508,Tue Feb 24 03:08:33 +0000 2026,0,Oh My Skin ! PINK LOVE GLUTA SOAP sabun pencerah badan Mencerahkan Kulit Tubuh Bodycare https://t.co/Izcl2V5KP6 https://t.co/DSyymvQ1AL,2026132112374702508,https://pbs.twimg.com/media/HB5EafrasAAaHZ7.jpg,,in,,0,0,0,https://x.com/undefined/status/2026132112374702508,1484895347315187712,
2026119699835322640,Tue Feb 24 02:29:36 +0000 2026,0,@potarisweatt tapi kalau pakai skincare bodycare dll tu aku sukaa,2026122309690622438,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026122309690622438,1406251828417761282,
2026119699835322640,Tue Feb 24 02:19:14 +0000 2026,28,baru sadar klo jd cewe tuh capek pliss. kudu rajin nglakuin skincare bodycare haircare routine demi jaga penampilan kemana2 pake makeup outfit jg kudu diperhatiin ,2026119699835322640,,,in,,2,25,0,https://x.com/undefined/status/2026119699835322640,2332802611,
2025907789697298671,Tue Feb 24 02:02:02 +0000 2026,0,NAH cipa juga masukin L occitane sama Kerastase buat bodycare &amp; haircare aku masukin list dulu deh yaaa https://t.co/ldTo4eHn6h,2026115369128370284,https://pbs.twimg.com/media/HB41LUtaYAAOijF.jpg,journeywithApr,in,,0,0,0,https://x.com/undefined/status/2026115369128370284,2402369514,
2026112464983904497,Tue Feb 24 02:01:29 +0000 2026,0,@BosRQ_ skincare dan bodycare udah sekarat untung ada #MalamIniShopeeMidnightSale pas promo beli 2 gratis 1 jadi bisa restock sekalian,2026115232679313485,,BosRQ_,in,,0,0,0,https://x.com/undefined/status/2026115232679313485,1926789679707238400,
2026285198330175691,Tue Feb 24 13:16:52 +0000 2026,0,Bodycare abis sabun + lotion sekalian beli 2 gratis 1 aja deh #MalamIniShopeeMidnightSale,2026285198330175691,,,in,,0,0,0,https://x.com/undefined/status/2026285198330175691,1868228002225795072,
2026276070312563130,Tue Feb 24 12:40:36 +0000 2026,0,siapa sih yang bisa nolak promo Beli 2 Gratis 1?? skincare + bodycare langsung masuk semuaa dompet aman hati tenang wkwk #MalamIniShopeeMidnightSale,2026276070312563130,,,in,,0,0,0,https://x.com/undefined/status/2026276070312563130,1909797905210490880,
2026253962266210718,Tue Feb 24 11:12:45 +0000 2026,0,skincare sama bodycare udah masuk wishlist tinggal nunggu beli 2 gratis 1 jam 00.00 nanti #MalamIniShopeeMidnightSale,2026253962266210718,,,in,,0,0,0,https://x.com/undefined/status/2026253962266210718,1576066390205038592,
2026252291360366831,Tue Feb 24 11:06:06 +0000 2026,0,225k !! Diskon beli di link ini https://t.co/ripRFe7Ape Noera Paket Combo Whitening Bodycare Booster Night Vitamin Lotion &amp; 5% ALPHA ARBUTIN - Promo wts wtb hanya tag diskon beli di link ini https://t.co/ripRFe7Ape https://t.co/fS011FzgbU,2026252291360366831,https://pbs.twimg.com/media/HB6xuHna8AAkWJ5.jpg,,in,,0,0,0,https://x.com/undefined/status/2026252291360366831,1991106673247961089,
2026243388606165478,Tue Feb 24 11:01:29 +0000 2026,0,@LazadaID Di Lazada Ramadan Pesta Gajian aku pengen beli skincare dan bodycare buat percantik diri ,2026251126857961779,,LazadaID,in,,0,0,0,https://x.com/undefined/status/2026251126857961779,1161502748,
2026185230848286951,Tue Feb 24 08:18:01 +0000 2026,0,@saphelune_ udh gitu selesainya masih harus skincarean hairdryer bodycare an dll,2026209992148488500,,saphelune_,in,,0,1,0,https://x.com/undefined/status/2026209992148488500,1353536078687342594,
2026207726976872844,Tue Feb 24 08:09:05 +0000 2026,3, ￼Ciara Scar Set aku tuh punya kulit yang sensitif &amp; gampang alergi jadi cukup picky buat pilih sama pake bodycare. turns out nemu yang cocok sama bisa nyamarin bekas luka &amp; calming alergi aku. harganya juga affordable 1 set gini mana dapet 3~ https://t.co/CkE3tw0LFA https://t.co/hAJyLpG9fo,2026207740239249649,https://pbs.twimg.com/media/HB6JMmhaUAA73w9.jpg,irapersa,in,,0,1,1,https://x.com/undefined/status/2026207740239249649,1022437026719657984,
2026207726976872844,Tue Feb 24 08:09:01 +0000 2026,796,BEBERAPA COMBO BODYCARE YANG PALING GONG 2026 anggunly demure &amp; slay head to toe! https://t.co/4gGDt41KXN,2026207726976872844,https://pbs.twimg.com/media/HB6JL2JbYAEjPPE.jpg,,in,,1,19,157,https://x.com/undefined/status/2026207726976872844,1022437026719657984,
2026119699835322640,Tue Feb 24 07:53:57 +0000 2026,0,@potarisweatt apalg pas bagian bodycare butuh waktu yg lamaaa,2026203935552500091,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026203935552500091,1336009723468869635,
2026176027517661268,Tue Feb 24 06:03:14 +0000 2026,0,aku suka bgt jalan-jalan ke alam!! resikonya bawa oleh-oleh tangan belang sm muka tapi itu dulu kokk!! sekarang aku udh rajin pake bodycare dan kalian bisa liat perbedaannyaa di foto ini better bgt kannn?? https://t.co/v0wSAaASEf,2026176070509363282,https://pbs.twimg.com/media/HB5sXqQaIAAxRmW.jpg,terangremboelan,in,,0,1,0,https://x.com/undefined/status/2026176070509363282,1667470100914634752,
2026144267899695257,Tue Feb 24 04:03:39 +0000 2026,0,@stberryorange @drwhiteskincare Pas banget bodycare abis. Thanks buat rekomendasinya kak,2026145978856980659,,stberryorange,in,,0,1,0,https://x.com/undefined/status/2026145978856980659,709063820233146368,
2026141939331146014,Tue Feb 24 03:47:36 +0000 2026,0,-selldips skincare bodycare parfum baju tanktop knit sweater popmart bikini bottom buddies tasbih souvenir haji umroh nikah tag: wts wtb sale buy preloved pl p new https://t.co/ImlKoQMb1D,2026141939331146014,https://pbs.twimg.com/media/HB5NVWGbUAAcnZS.jpg,,in,,0,0,0,https://x.com/undefined/status/2026141939331146014,1847520733028896769,
2026132112374702508,Tue Feb 24 03:08:33 +0000 2026,0,Oh My Skin ! PINK LOVE GLUTA SOAP sabun pencerah badan Mencerahkan Kulit Tubuh Bodycare https://t.co/Izcl2V5KP6 https://t.co/DSyymvQ1AL,2026132112374702508,https://pbs.twimg.com/media/HB5EafrasAAaHZ7.jpg,,in,,0,0,0,https://x.com/undefined/status/2026132112374702508,1484895347315187712,
2026119699835322640,Tue Feb 24 02:29:36 +0000 2026,0,@potarisweatt tapi kalau pakai skincare bodycare dll tu aku sukaa,2026122309690622438,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026122309690622438,1406251828417761282,
2026119699835322640,Tue Feb 24 02:19:14 +0000 2026,28,baru sadar klo jd cewe tuh capek pliss. kudu rajin nglakuin skincare bodycare haircare routine demi jaga penampilan kemana2 pake makeup outfit jg kudu diperhatiin ,2026119699835322640,,,in,,2,25,0,https://x.com/undefined/status/2026119699835322640,2332802611,
2025907789697298671,Tue Feb 24 02:02:02 +0000 2026,0,NAH cipa juga masukin L occitane sama Kerastase buat bodycare &amp; haircare aku masukin list dulu deh yaaa https://t.co/ldTo4eHn6h,2026115369128370284,https://pbs.twimg.com/media/HB41LUtaYAAOijF.jpg,journeywithApr,in,,0,0,0,https://x.com/undefined/status/2026115369128370284,2402369514,
2026112464983904497,Tue Feb 24 02:01:29 +0000 2026,0,@BosRQ_ skincare dan bodycare udah sekarat untung ada #MalamIniShopeeMidnightSale pas promo beli 2 gratis 1 jadi bisa restock sekalian,2026115232679313485,,BosRQ_,in,,0,0,0,https://x.com/undefined/status/2026115232679313485,1926789679707238400,
2026285198330175691,Tue Feb 24 13:16:52 +0000 2026,0,Bodycare abis sabun + lotion sekalian beli 2 gratis 1 aja deh #MalamIniShopeeMidnightSale,2026285198330175691,,,in,,0,0,0,https://x.com/undefined/status/2026285198330175691,1868228002225795072,
2026276070312563130,Tue Feb 24 12:40:36 +0000 2026,0,siapa sih yang bisa nolak promo Beli 2 Gratis 1?? skincare + bodycare langsung masuk semuaa dompet aman hati tenang wkwk #MalamIniShopeeMidnightSale,2026276070312563130,,,in,,0,0,0,https://x.com/undefined/status/2026276070312563130,1909797905210490880,
2026253962266210718,Tue Feb 24 11:12:45 +0000 2026,0,skincare sama bodycare udah masuk wishlist tinggal nunggu beli 2 gratis 1 jam 00.00 nanti #MalamIniShopeeMidnightSale,2026253962266210718,,,in,,0,0,0,https://x.com/undefined/status/2026253962266210718,1576066390205038592,
2026252291360366831,Tue Feb 24 11:06:06 +0000 2026,0,225k !! Diskon beli di link ini https://t.co/ripRFe7Ape Noera Paket Combo Whitening Bodycare Booster Night Vitamin Lotion &amp; 5% ALPHA ARBUTIN - Promo wts wtb hanya tag diskon beli di link ini https://t.co/ripRFe7Ape https://t.co/fS011FzgbU,2026252291360366831,https://pbs.twimg.com/media/HB6xuHna8AAkWJ5.jpg,,in,,0,0,0,https://x.com/undefined/status/2026252291360366831,1991106673247961089,
2026243388606165478,Tue Feb 24 11:01:29 +0000 2026,0,@LazadaID Di Lazada Ramadan Pesta Gajian aku pengen beli skincare dan bodycare buat percantik diri ,2026251126857961779,,LazadaID,in,,0,0,0,https://x.com/undefined/status/2026251126857961779,1161502748,
2026185230848286951,Tue Feb 24 08:18:01 +0000 2026,0,@saphelune_ udh gitu selesainya masih harus skincarean hairdryer bodycare an dll,2026209992148488500,,saphelune_,in,,0,1,0,https://x.com/undefined/status/2026209992148488500,1353536078687342594,
2026207726976872844,Tue Feb 24 08:09:05 +0000 2026,3, ￼Ciara Scar Set aku tuh punya kulit yang sensitif &amp; gampang alergi jadi cukup picky buat pilih sama pake bodycare. turns out nemu yang cocok sama bisa nyamarin bekas luka &amp; calming alergi aku. harganya juga affordable 1 set gini mana dapet 3~ https://t.co/CkE3tw0LFA https://t.co/hAJyLpG9fo,2026207740239249649,https://pbs.twimg.com/media/HB6JMmhaUAA73w9.jpg,irapersa,in,,0,1,1,https://x.com/undefined/status/2026207740239249649,1022437026719657984,
2026207726976872844,Tue Feb 24 08:09:01 +0000 2026,796,BEBERAPA COMBO BODYCARE YANG PALING GONG 2026 anggunly demure &amp; slay head to toe! https://t.co/4gGDt41KXN,2026207726976872844,https://pbs.twimg.com/media/HB6JL2JbYAEjPPE.jpg,,in,,1,19,157,https://x.com/undefined/status/2026207726976872844,1022437026719657984,
2026119699835322640,Tue Feb 24 07:53:57 +0000 2026,0,@potarisweatt apalg pas bagian bodycare butuh waktu yg lamaaa,2026203935552500091,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026203935552500091,1336009723468869635,
2026176027517661268,Tue Feb 24 06:03:14 +0000 2026,0,aku suka bgt jalan-jalan ke alam!! resikonya bawa oleh-oleh tangan belang sm muka tapi itu dulu kokk!! sekarang aku udh rajin pake bodycare dan kalian bisa liat perbedaannyaa di foto ini better bgt kannn?? https://t.co/v0wSAaASEf,2026176070509363282,https://pbs.twimg.com/media/HB5sXqQaIAAxRmW.jpg,terangremboelan,in,,0,1,0,https://x.com/undefined/status/2026176070509363282,1667470100914634752,
2026144267899695257,Tue Feb 24 04:03:39 +0000 2026,0,@stberryorange @drwhiteskincare Pas banget bodycare abis. Thanks buat rekomendasinya kak,2026145978856980659,,stberryorange,in,,0,1,0,https://x.com/undefined/status/2026145978856980659,709063820233146368,
2026141939331146014,Tue Feb 24 03:47:36 +0000 2026,0,-selldips skincare bodycare parfum baju tanktop knit sweater popmart bikini bottom buddies tasbih souvenir haji umroh nikah tag: wts wtb sale buy preloved pl p new https://t.co/ImlKoQMb1D,2026141939331146014,https://pbs.twimg.com/media/HB5NVWGbUAAcnZS.jpg,,in,,0,0,0,https://x.com/undefined/status/2026141939331146014,1847520733028896769,
2026132112374702508,Tue Feb 24 03:08:33 +0000 2026,0,Oh My Skin ! PINK LOVE GLUTA SOAP sabun pencerah badan Mencerahkan Kulit Tubuh Bodycare https://t.co/Izcl2V5KP6 https://t.co/DSyymvQ1AL,2026132112374702508,https://pbs.twimg.com/media/HB5EafrasAAaHZ7.jpg,,in,,0,0,0,https://x.com/undefined/status/2026132112374702508,1484895347315187712,
2026119699835322640,Tue Feb 24 02:29:36 +0000 2026,0,@potarisweatt tapi kalau pakai skincare bodycare dll tu aku sukaa,2026122309690622438,,potarisweatt,in,,0,1,0,https://x.com/undefined/status/2026122309690622438,1406251828417761282,
2026119699835322640,Tue Feb 24 02:19:14 +0000 2026,28,baru sadar klo jd cewe tuh capek pliss. kudu rajin nglakuin skincare bodycare haircare routine demi jaga penampilan kemana2 pake makeup outfit jg kudu diperhatiin ,2026119699835322640,,,in,,2,25,0,https://x.com/undefined/status/2026119699835322640,2332802611,
2025907789697298671,Tue Feb 24 02:02:02 +0000 2026,0,NAH cipa juga masukin L occitane sama Kerastase buat bodycare &amp; haircare aku masukin list dulu deh yaaa https://t.co/ldTo4eHn6h,2026115369128370284,https://pbs.twimg.com/media/HB41LUtaYAAOijF.jpg,journeywithApr,in,,0,0,0,https://x.com/undefined/status/2026115369128370284,2402369514,
2026112464983904497,Tue Feb 24 02:01:29 +0000 2026,0,@BosRQ_ skincare dan bodycare udah sekarat untung ada #MalamIniShopeeMidnightSale pas promo beli 2 gratis 1 jadi bisa restock sekalian,2026115232679313485,,BosRQ_,in,,0,0,0,https://x.com/undefined/status/2026115232679313485,1926789679707238400,
